Filename: D:\_RESEARCH\_datasets\GudalurSTD\Data_in_brief_dataset\DATA\AIRBORNE\AVNG_PROCESSED\AVNG_REFL
ROI: Region #1 [Green] 4 points

Basic Stats	  Min	  Max	       Mean	     Stdev
     Band 1	 1208	 2074	1640.500000	409.469983
     Band 2	 1069	 2061	1604.750000	439.835102
     Band 3	 1198	 1482	1352.250000	139.093194
     Band 4	 1002	 1789	1397.250000	328.707950
     Band 5	  924	 1564	1244.000000	269.519325
     Band 6	  937	 1465	1197.250000	219.506074
     Band 7	  879	 1473	1175.500000	252.236001
     Band 8	  980	 1374	1177.000000	161.056926
     Band 9	  937	 1353	1145.750000	176.203244
    Band 10	  943	 1306	1126.500000	149.783177
    Band 11	  990	 1269	1134.000000	114.719949
    Band 12	  979	 1253	1117.750000	112.045750
    Band 13	 1002	 1239	1115.750000	 97.188391
    Band 14	 1049	 1214	1125.250000	 68.339227
    Band 15	 1056	 1230	1134.250000	 72.472409
    Band 16	 1031	 1205	1118.750000	 71.051038
    Band 17	 1034	 1209	1116.250000	 72.366544
    Band 18	 1050	 1230	1129.750000	 75.790831
    Band 19	 1049	 1267	1147.250000	 90.746442
    Band 20	 1067	 1302	1172.250000	 97.061407
    Band 21	 1080	 1382	1216.000000	127.924457
    Band 22	 1126	 1412	1255.000000	118.507384
    Band 23	 1180	 1455	1304.750000	113.417738
    Band 24	 1209	 1543	1360.000000	138.219632
    Band 25	 1265	 1624	1430.250000	149.243369
    Band 26	 1312	 1677	1482.750000	151.618765
    Band 27	 1398	 1752	1562.500000	146.447943
    Band 28	 1444	 1830	1631.500000	159.134115
    Band 29	 1520	 1916	1712.500000	162.973413
    Band 30	 1609	 2025	1814.500000	170.803005
    Band 31	 1673	 2132	1904.250000	190.657415
    Band 32	 1778	 2246	2019.000000	193.235607
    Band 33	 1867	 2367	2123.750000	207.064201
    Band 34	 1973	 2489	2245.000000	214.172827
    Band 35	 2059	 2613	2348.750000	229.806259
    Band 36	 2172	 2730	2469.000000	230.236111
    Band 37	 2276	 2846	2581.500000	236.060021
    Band 38	 2383	 2958	2693.000000	238.152612
    Band 39	 2443	 3045	2760.750000	250.085819
    Band 40	 2569	 3130	2863.500000	231.966233
    Band 41	 2645	 3225	2944.000000	239.598275
    Band 42	 2729	 3255	3000.750000	216.607748
    Band 43	 2788	 3310	3055.750000	214.697267
    Band 44	 2859	 3385	3124.750000	218.532034
    Band 45	 2936	 3425	3182.250000	201.678581
    Band 46	 3000	 3492	3241.500000	202.834087
    Band 47	 3065	 3519	3287.500000	187.365063
    Band 48	 3103	 3530	3314.750000	175.524690
    Band 49	 3154	 3592	3365.750000	181.747765
    Band 50	 3209	 3644	3419.000000	179.110766
    Band 51	 3266	 3698	3473.750000	179.254707
    Band 52	 3325	 3742	3528.000000	173.233946
    Band 53	 3366	 3818	3589.500000	187.860764
    Band 54	 3413	 3910	3663.750000	208.003806
    Band 55	 3516	 3987	3753.000000	195.255388
    Band 56	 3576	 4083	3847.250000	211.358108
    Band 57	 3668	 4240	3984.000000	240.306748
    Band 58	 3796	 4403	4132.250000	255.262447
    Band 59	 3887	 4543	4254.750000	277.087682
    Band 60	 3996	 4678	4385.750000	287.397953
    Band 61	 4052	 4820	4489.250000	327.940416
    Band 62	 4139	 4922	4595.250000	335.541726
    Band 63	 4224	 5022	4689.000000	341.866446
    Band 64	 4341	 5121	4804.750000	333.305040
    Band 65	 4416	 5239	4900.250000	353.056535
    Band 66	 4410	 5263	4919.750000	368.336237
    Band 67	 4482	 5328	4976.250000	364.401221
    Band 68	 4502	 5321	4985.250000	352.102613
    Band 69	 4575	 5408	5065.500000	355.740074
    Band 70	 4670	 5453	5137.750000	338.581723
    Band 71	 4682	 5461	5145.250000	335.026740
    Band 72	 4738	 5497	5199.000000	333.871233
    Band 73	 4754	 5537	5226.250000	343.839473
    Band 74	 4893	 5656	5347.750000	328.995821
    Band 75	 4974	 5751	5430.750000	335.190866
    Band 76	 5050	 5783	5486.750000	313.765703
    Band 77	 5006	 5830	5494.750000	354.182039
    Band 78	 4972	 5690	5383.750000	304.867594
    Band 79	 5078	 5785	5500.750000	305.699607
    Band 80	 5126	 5866	5561.250000	319.087632
    Band 81	 5114	 5885	5568.500000	333.541102
    Band 82	 5138	 5930	5604.500000	341.960524
    Band 83	 5126	 5787	5525.750000	282.312327
    Band 84	 5053	 5830	5514.500000	336.795190
    Band 85	 5039	 5759	5461.500000	307.146545
    Band 86	 5014	 5760	5453.750000	320.464637
    Band 87	 4952	 5773	5436.500000	355.681974
